X,Y,OBJECTID,CREATOR,EDITOR,CREATED,EDITED,VALIDATION,RELIABILIT,Enabled,FACILITYID,PARENTID,SW_FACILIT,SW_OBJECTT,SW_AS_BUIL,SW_SAP_OBJ,SW_ACTIVIT,SW_AREA_M2,SW_ASBUILT,SW_ASSET_M,SW_ASSET_O,SW_ASSET_T,SW_CAP_CLI,SW_CAP_EXI,SW_CAP_FUT,SW_CAPACIT,SW_CAPAC00,SW_CAPAC01,SW_CAPAC02,SW_CAPAC03,SW_CAPAC04,SW_CAPAC05,SW_CAPAC06,SW_CAPAC07,SW_CAPAC08,SW_CAPAC09,SW_CAPAC10,SW_CONDITI,SW_CONDI00,SW_CONDI01,SW_CONDI02,SW_CONDI03,SW_CONDI04,SW_CONSENT,SW_CONSE00,SW_CONSE01,SW_COVER_T,SW_CRE,SW_CRITICA,SW_CRITI00,SW_CRITI01,SW_DECOMMI,SW_DESCRIP,SW_DIAMETE,SW_DISSIPA,SW_FISH_PA,SW_HAS_BAC,SW_HAS_FLA,SW_HAS_GRA,SW_HAS_SAF,SW_HAS_SCA,SW_INSTALL,SW_INVERT_,SW_LEGACY_,SW_LEGAC00,SW_LENGTH_,SW_LOCAL_B,SW_MANUFAC,SW_MATERIA,SW_OPERATI,SW_PROJECT,SW_RECEIVI,SW_RELIABI,SW_RELIA00,SW_RELIA01,SW_RENEWAL,SW_RENEW00,SW_RENEW01,SW_RENEW02,SW_RISK,SW_RISK_DA,SW_SAP_ID,SW_STATUS,SW_STATUS_,SW_STORMWA,SW_VALUATI,SW_VALUA00,SW_VALUA01,SW_VALUA02,SW_VALUA03,SW_VALUA04,SW_WIDTH_M,SW_GIS_ID,created_us,created_da,last_edite,last_edi00,GlobalID_1,fme_basena,layer,path
174.842646401708,-36.9055408708137,,,,,,,,"1",,,,SW_ILOL,,IE000000003000080391,VALI,,VD14701,STORMWATER,TRANSPORT,STDI,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"2100",,,,,,,,"20111012",8.000000000000000,,,,"150",,,SC,,TAMAKI,CONS,CONS,,,,,,,,"3000080391",INSR,,"058",,,,,,,,ILOL166029,,,,,{1FC93877-A7C2-4D9B-AECE-ACC4CB57A44A},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.843473688087,-36.9064410762905,,,,,,,,"1",,,,SW_ILOL,,IE000000003000080390,VALI,,VD14701,STORMWATER,TRANSPORT,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"2100",,,,,,,,"20111012",1.600000000000000,,,,"150",,,SC,,TAMAKI,CONS,CONS,,,,,,,,"3000080390",INSR,,"058",,,,,,,,ILOL166028,,,,,{39E1EA39-3E1C-4C0B-AA5F-EE0BA629C966},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.842802767311,-36.9037830217062,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080578,TVES,,VS9904,STORMWATER,STORMWATER,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"1200",ROCK,,,,,,,"20180118",10.810000000000000,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080578",INSR,,"058",,,,,,,,ILOL35406,,,,,{B1E7BAA1-0A40-4602-88A5-F63B7943D9D7},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.843872469451,-36.9026087563858,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080577,TVES,,VS9904,STORMWATER,STORMWATER,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,,ROCK,,,,,,,"20180118",12.710000000000001,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080577",INSR,,"058",,,,,,,,ILOL35405,,,,,{82039FBF-B28C-41CB-A7E0-EC0763FE1497},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.844418484937,-36.9018309064026,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080576,TVES,,VS9904,STORMWATER,STORMWATER,STDI,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,,ROCK,,,,,,,"20180118",13.449999999999999,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080576",INSR,,"058",,,,,,,,ILOL35404,,,,,{E3811072-3B53-4C43-B35D-3B0EEC6B5A9F},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.84534145657,-36.9007592241886,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080575,TVES,,VS9904,STORMWATER,STORMWATER,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"1200",ROCK,,,,,,,"20180118",,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080575",INSR,,"058",,,,,,,,ILOL35403,,,,,{6A2FDE86-436B-428F-AF7A-65B8589E3DAB},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.845023186724,-36.9012944252027,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080574,TVES,,VS9904,STORMWATER,STORMWATER,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,,ROCK,,,,,,,"20180118",14.770000000000000,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080574",INSR,,"058",,,,,,,,ILOL35402,,,,,{576B7D83-E033-4481-AC16-1CC5A86C04D7},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.845120035496,-36.9011615334781,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080573,TVES,,VS9904,STORMWATER,STORMWATER,STDI,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,,ROCK,,,,,,,"20180118",14.890000000000001,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080573",INSR,,"058",,,,,,,,ILOL35401,,,,,{D675BE20-0DA4-40AE-B388-F87347F17E82},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.846072404942,-36.9004382600145,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080572,TVES,,VS9904,STORMWATER,STORMWATER,STDO,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"600",ROCK,,,,,,,"20180118",15.289999999999999,,,,"150",,CONC,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,GISA,,,,,,,"3000080572",INSR,,"058",,,,,,,,ILOL35400,,,,,{46451617-37BE-4D0F-AE1A-97CEE3DFDD8C},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
174.847509778111,-36.8992687929658,,,,,,,ABPL,"1",,,,SW_ILOL,,IE000000003000080571,TVES,,VS9904,STORMWATER,STORMWATER,STDI,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,"1050",,,,,,,,"20180118",16.960000000000001,,,,"150",,,SC,E/EPA/2011/324,TAMAKI,ABPL,ABPL,,,,,,,,"3000080571",INSR,,"058",,,,,,,,ILOL35399,,,,,{DAD0A4DB-635B-4E97-A8BC-8E4BC2620A43},Stormwater Inlet And Outlet,Stormwater Inlet And Outlet_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34348|layername=Stormwater Inlet And Outlet_point
