"Y","X"
-36.8522201,174.7645722
-36.8521815,174.7645508
-36.8521428,174.7651516
-36.8521241999999,174.7649075
-36.8523587999999,174.7649826
-36.8523781,174.764926299
-36.8525691,174.7651114
-36.852582,174.7650604
-36.8527816,174.7651757
-36.8527644,174.765245499
-36.86585704,174.777724389
-36.8518601,174.7607709
-36.8531889,174.7647135
-36.8528613,174.778947
-36.8503198999999,174.7776236
-36.8511781,174.776510399
-36.8512896999999,174.776025
-36.8511574,174.7749463
-36.8512655,174.7710225
-36.8517376,174.7698551
-36.8516174,174.7695064
-36.8542758,174.7721375
-36.8540762,174.7722582
-36.854776,174.7688881
-36.8546665,174.7691107
-36.8534845,174.75057151
-36.853398458,174.750597117
-36.852583872,174.751937582
-36.852543378,174.751884511
-36.8525317199999,174.751777599
-36.853060281,174.751629642
-36.85301249,174.751532392
-36.8538450779999,174.751247342
-36.853831703,174.751142097
-36.854523601,174.750916091
-36.854376741,174.750875911
-36.8565822849999,174.749213107
-36.856494342,174.749312894
-36.8564537829999,174.748808688
-36.856336391,174.748821066
-36.855122783,174.75029106
-36.855220474,174.750341606
-36.855134999,174.750097821
-36.855229026,174.749956869
-36.8553294289999,174.749994059
-36.855575394,174.749278917
-36.855560893,174.749018248
-36.855518794,174.748994437
-36.8558126469999,174.748586255
-36.855940431,174.748215151
-36.8560155,174.748110254
-36.855875575,174.748101647
-36.856101184,174.747449468
-36.8560640919999,174.747426346
-36.856284417,174.747217492
-36.856464584,174.746978435
-36.8564383459999,174.746951321
-36.8562797119999,174.746931136
-36.855237727,174.750567635
-36.855300883,174.750411153
-36.856086037,174.750151389
-36.856022238,174.750069815
-36.8567828979999,174.749695572
-36.856779197,174.749812251
-36.8572432469999,174.749472989
-36.85726312,174.749574166
-36.866387225,174.751287741
-36.8522275679999,174.75483758
-36.8523088009999,174.754866692
-36.852132038,174.754617024
-36.865523443,174.74451379
-36.861582223,174.749726493
-36.861723275,174.749900865
-36.8585080889999,174.74833923
-36.852241125,174.757921115
-36.857337297,174.764837738
-36.8569138399999,174.765066327
-36.855469666,174.766906788
-36.85531986,174.766772367
-36.855315251,174.766777476
-36.8580376309999,174.756386032
-36.8581641759999,174.756586275
-36.858042107,174.756964275
-36.85795658,174.760070406
-36.857974821,174.760215429
-36.850648115,174.779847017
-36.851316804,174.762981515
-36.858710682,174.746688086
-36.850706246,174.779900977
-36.858080001,174.753103333
-36.8595083339999,174.752666666
-36.859546667,174.752678334
-36.859570001,174.75264
-36.8521280319999,174.765432905
-36.852097773,174.765438605
-36.852245168,174.775598142
-36.8610779759999,174.778793659
-36.860740479,174.77844011
-36.8611153599999,174.778525438
-36.850404775,174.777350951
-36.858640078,174.7687864
-36.8544450009999,174.762116667
-36.865940947,174.742957083
-36.8577424809999,174.750619232
-36.8541766669999,174.745548333
-36.855378334,174.745633333
-36.856582975,174.746511978
-36.865218334,174.745193333
-36.8612033699999,174.751028856
-36.8507266669999,174.774973333
-36.865224129,174.776711483
-36.8506536159999,174.766505265
-36.8506592689999,174.76655811
-36.850755819,174.766691886
-36.856196118,174.745698707
-36.8503450009999,174.773838333
-36.85133974,174.768737622
-36.850330001,174.77398
-36.864809282,174.757247892
-36.863952604,174.756177919
-36.8639559819999,174.756174005
-36.853066751,174.777324465
-36.854025694,174.778623338
-36.8563998979999,174.780053161
-36.853909895,174.778430225
-36.853925273,174.778540126
-36.85641752,174.779987445
-36.854832071,174.779644112
-36.861893513,174.779699845
-36.861556681,174.778806566
-36.8610227459999,174.778749224
-36.8611939479999,174.778543959
-36.861116516,174.778531034
-36.861032747,174.778439612
-36.851582503,174.748696576
-36.852556496,174.747238272
-36.8529186719999,174.746299108
-36.852929462,174.746233404
-36.8516523559999,174.748772191
-36.8516114239999,174.748884631
-36.8514394869999,174.748798188
-36.85178511,174.748682317
-36.851773637,174.748590735
