"Y","X"
-36.852196227,174.746044962
-36.862512743,174.759575487
-36.851545019,174.747488685
-36.8514821119999,174.747457811
-36.852350074,174.742872566
-36.85254853,174.742903201
-36.852558459,174.743128663
-36.865865044,174.777933428
-36.865972497,174.777771202
-36.855220077,174.76828679
-36.855159359,174.768292439
-36.862425473,174.768504646
-36.8522473589999,174.751761745
-36.852196168,174.751569797
-36.8520571569999,174.7510328
-36.851986132,174.750775684
-36.853429443,174.750459887
-36.8536916689999,174.750080306
-36.853817292,174.749847721
-36.8523681849999,174.752483137
-36.8523610509999,174.751862243
-36.8523538279999,174.751966215
-36.852808674,174.751736703
-36.8538213369999,174.751237823
-36.853579563,174.751354271
-36.85449161,174.750915693
-36.854360862,174.750976416
-36.856627518,174.749612596
-36.856511489,174.749248055
-36.8563731629999,174.748802439
-36.8563117489999,174.748634177
-36.855999079,174.748404437
-36.855197158,174.750352094
-36.855249187,174.750185902
-36.8553104229999,174.750005913
-36.8555243939999,174.749349114
-36.855610419,174.749104549
-36.85578973,174.74858781
-36.855864325,174.748368202
-36.855938306,174.748152967
-36.856137917,174.747574451
-36.856245289,174.747262576
-36.856193885,174.747212336
-36.8561792309999,174.747452857
-36.856345857,174.746976561
-36.85510312,174.750628331
-36.855217147,174.750551473
-36.855330856,174.750496277
-36.8560217429999,174.750162048
-36.856717212,174.749822615
-36.857240151,174.749573082
-36.857359738,174.749513332
-36.8577018509999,174.74934447
-36.8665401019999,174.752160582
-36.8666072569999,174.752312597
-36.865732308,174.75069937
-36.8663119989999,174.751336955
-36.854076676,174.760419933
-36.854164249,174.760325147
-36.8544338209999,174.759985762
-36.854757852,174.759681608
-36.851716301,174.754167639
-36.851576998,174.754091328
-36.8514616259999,174.754048539
-36.851741386,174.754385573
-36.851398488,174.754124821
-36.85158583,174.754299021
-36.8513894009999,174.754141998
-36.851182713,174.753983844
-36.8510975569999,174.754098428
-36.8508668219999,174.753939052
-36.8515287709999,174.754635085
-36.851644751,174.754716023
