X,Y,OBJECTID,CREATOR,EDITOR,CREATED,EDITED,VALIDATION,RELIABILIT,Enabled,FACILITYID,PARENTID,SW_FACILIT,SW_OBJECTT,SW_AS_BUIL,SW_SAP_OBJ,SW_ACTIVIT,SW_ASBUILT,SW_ASSET_M,SW_ASSET_O,SW_ASSET_T,SW_CAP_CLI,SW_CAP_EXI,SW_CAP_FUT,SW_CAPACIT,SW_CAPAC00,SW_CAPAC01,SW_CAPAC02,SW_CAPAC03,SW_CAPAC04,SW_CAPAC05,SW_CAPAC06,SW_CAPAC07,SW_CAPAC08,SW_CAPAC09,SW_CAPAC10,SW_CONDITI,SW_CONDI00,SW_CRE,SW_CRITICA,SW_CRITI00,SW_CRITI01,SW_DECOMMI,SW_DEPTH_T,SW_DESCRIP,SW_DIAMETE,SW_GRATE_L,SW_GRATE_S,SW_GRATE_T,SW_INSERT_,SW_INSTALL,SW_LEGACY_,SW_LEGAC00,SW_LENGTH_,SW_LOCAL_B,SW_MANUFAC,SW_MATERIA,SW_OPERATI,SW_PROJECT,SW_RELIABI,SW_RELIA00,SW_RELIA01,SW_RELIA02,SW_RENEWAL,SW_RENEW00,SW_RENEW01,SW_RENEW02,SW_RISK,SW_RISK_DA,SW_SAP_ID,SW_STATUS,SW_STATUS_,SW_STORMWA,SW_VALUATI,SW_VALUA00,SW_VALUA01,SW_VALUA02,SW_VALUA03,SW_VALUA04,SW_WIDTH_M,SW_GIS_ID,created_us,created_da,last_edite,last_edi00,GlobalID_1,fme_basena,layer,path
174.856438685372,-36.9045237238936,,,,,,,,"1",,,,SW_CPIT,,IE000000003000105212,TVES,VS11994,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,0.710000000000000,,"225",22.600000000000001,675x450,,,"20200914",,,,"150",,CONC,SC,ENG60302937,ABPL,ABPL,ABPL,ABPL,,,,,,,"3000105212",INSR,,"058",,,,,,,,CPIT1061224,,,,,{65763471-DF15-45B6-9975-7AE72CFA1BC0},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.855111460038,-36.918103344235,,,,,,,,"1",,,,SW_CPIT,,IE000000002000939041,,,,TRANSPORT,SUPR,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,Catchpit,,0.000000000000000,660x460,CIMD,,"19991115",ACC_1290600_NU0691,,,"150",,,SC,,,,NONE,,,,,,,,"2000939041",INSR,,"036",,,,,,,,{F405321B-9679-4A67-B5D9-5102A4B1972A},,,,,{F80ABAD6-6342-4E1D-A02B-5A53215F7A62},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.855099069216,-36.9181017549805,,,,,,,,"1",,,,SW_CPIT,,IE000000002000910614,,,,TRANSPORT,SUPR,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,Catchpit,,0.000000000000000,660x460,CIMD,,"19991115",ACC_1289275_NU0690,,,"150",,,SC,,,,NONE,,,,,,,,"2000910614",INSR,,"036",,,,,,,,{FA3DFEE4-BD45-4967-964C-52619D46907C},,,,,{BDC547EF-37BA-425A-A94F-76474B93FF6E},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.850404126955,-36.9115206558398,,,,,,,,"1",,,,SW_CPIT,,IE000000002000005216,,,,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,CATCHPIT,,,660x460,CIMD,,"19590630",ACC_1291151_NR1338,,,"150",,,SC,,,,NONE,,,,,,,,"2000005216",INSR,,"036",,,,,,,,{0E45767A-8C7F-45D6-9B8F-70D064EE0C79},,,,,{AC70D88A-65BC-4A53-A8DA-25DA44CB36DD},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.850470000543,-36.8989683338244,,,,,,,,"1",,,,SW_CPIT,,IE000000003000076652,VALI,,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,CATCHPIT,,,,,,,,,,"150",,,SC,,,,,,,,,,,,"3000076652",INSR,,"058",,,,,,,,CPIT167358,,,,,{161A82BE-8ABF-475F-8A08-9567D37B7D9D},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.850773333689,-36.8990316677288,,,,,,,,"1",,,,SW_CPIT,,IE000000003000076649,VALI,,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,CATCHPIT,,,,,,,,,,"150",,,SC,,,,,,,,,,,,"3000076649",INSR,,"058",,,,,,,,CPIT167355,,,,,{6AADEF94-681B-41AC-AD0D-EA351EAB6B2A},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.854710000185,-36.9032416673606,,,,,,,,"1",,,,SW_CPIT,,IE000000003000076275,VALI,,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,CATCHPIT,,,,,,,,,,"150",,,SC,,,,,,,,,,,,"3000076275",INSR,,"058",,,,,,,,CPIT166980,,,,,{137BC617-E38B-4B33-9C83-40E575389739},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.850760633255,-36.8990280935761,,,,,,,ABPL,"1",,,,SW_CPIT,,IE000000003000059206,TVES,VS9876,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,0.730000000000000,CATCHPIT,"225",22.590000000000000,800x500,,,"20170721",,,"800","150",,CONC,SC,E/EPA/2011/325,ABPL,ABPL,ABPL,GISA,,,,,,,"3000059206",INSR,,"058",,,,,,,"500",{1AE9913D-6273-468F-9AD4-653B078AC932},,,,,{FF7D6E02-1CEF-49AE-8882-94743128B3DE},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.85045195625,-36.8989420492594,,,,,,,ABPL,"1",,,,SW_CPIT,,IE000000003000059190,TVES,VS9876,STORMWATER,TRANSPORT,SING,,,,,,,,,,,,,,,,,,TAMAKI,,,,,1.640000000000000,CATCHPIT,"225",23.160000000000000,CUST,,,"20170721",,,"1440","150",,CONC,SC,E/EPA/2011/325,ABPL,ABPL,ABPL,GISA,,,,,,,"3000059190",INSR,,"058",,,,,,,"1220",{D0FB64FB-DB72-417F-ACC8-7F437E9C0B1F},,,,,{8A43203C-C7E8-4BF0-A9C4-15096B48258D},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
174.85073217872,-36.8988908143428,,,,,,,ABPL,"1",,,,SW_CPIT,,IE000000003000059203,TVES,VS9876,STORMWATER,TRANSPORT,STDS,,,,,,,,,,,,,,,,,,TAMAKI,,,,,1.090000000000000,CATCHPIT,"225",22.770000000000000,675x450,,,"20170721",,,"675","150",,CONC,SC,E/EPA/2011/325,ABPL,ABPL,ABPL,GISA,,,,,,,"3000059203",INSR,,"058",,,,,,,"450",{FEC0396D-2768-4923-B0A6-6E3561D9CF56},,,,,{CCF1211C-57C4-4C00-90BE-693CCAD57CD6},Stormwater Catchpit,Stormwater Catchpit_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Catchpit_point
