X,Y,OBJECTID,CREATOR,EDITOR,CREATED,EDITED,VALIDATION,RELIABILIT,Enabled,FACILITYID,PARENTID,SW_FACILIT,SW_OBJECTT,SW_AS_BUIL,SW_SAP_OBJ,SW_ACTIVIT,SW_ASBUILT,SW_ASSET_M,SW_ASSET_O,SW_ASSET_T,SW_BEDDING,SW_CAP_CLI,SW_CAP_EXI,SW_CAP_FUT,SW_CAPACIT,SW_CAPAC00,SW_CAPAC01,SW_CAPAC02,SW_CAPAC03,SW_CAPAC04,SW_CAPAC05,SW_CAPAC06,SW_CAPAC07,SW_CAPAC08,SW_CAPAC09,SW_CAPAC10,SW_CONDITI,SW_CONDI00,SW_CONDI01,SW_CONDI02,SW_CONDI03,SW_CONDI04,SW_COVER_L,SW_COVER_S,SW_COVER_T,SW_CRE,SW_CRITICA,SW_CRITI00,SW_CRITI01,SW_DECOMMI,SW_DEPTH_T,SW_DESCRIP,SW_DIAMETE,SW_FISH_PA,SW_HAS_SAF,SW_HAS_SIL,SW_HAS_STE,SW_INSTALL,SW_INVERT_,SW_IS_LINE,SW_LEGACY_,SW_LEGAC00,SW_LENGTH_,SW_LINING_,SW_LOCAL_B,SW_LOCKING,SW_MANUFAC,SW_MATERIA,SW_MATER00,SW_MATER01,SW_OPERATI,SW_PROJECT,SW_RELIABI,SW_RELIA00,SW_RELIA01,SW_RELIA02,SW_RELIA03,SW_RENEWAL,SW_RENEW00,SW_RENEW01,SW_RENEW02,SW_RISK,SW_RISK_DA,SW_SAP_ID,SW_SHAPE,SW_STATUS,SW_STATUS_,SW_STORMWA,SW_VALUATI,SW_VALUA00,SW_VALUA01,SW_VALUA02,SW_VALUA03,SW_VALUA04,SW_WIDTH_R,SW_GIS_ID,created_us,created_da,last_edite,last_edi00,GlobalID_1,fme_basena,layer,path
174.855136829075,-36.9074757201862,,,,,,,,"1",,,,SW_MHCR,,IE000000003000124221,TVES,VS15730,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,16.239999999999998,,,TAMAKI,,,,,0.920000000000000,,"1050",,,,,"20211214",15.320000000000000,,,,,,"150",,,,,CONC,SC,ENG60358817,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000124221",CIRC,INSR,,"058",49.850000000000001,"20220701",5205.149999999999636,"105",5255.000000000000000,5255.000000000000000,,MHCR1529820,,,,,{A5F60119-C5BA-43F5-A788-1A08AB3BC62F},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.855042640881,-36.9079892336014,,,,,,,,"1",,,,SW_MHCR,,IE000000003000124220,TVES,VS15730,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,18.070000000000000,,,TAMAKI,,,,,2.270000000000000,,"1050",,,,,"20211214",15.800000000000001,,,,,,"150",,,,,CONC,SC,ENG60358817,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000124220",CIRC,INSR,,"058",80.760000000000005,"20220701",8433.239999999999782,"105",8514.000000000000000,8514.000000000000000,,MHCR1529819,,,,,{1DDA0EC4-3C2D-47BF-9C87-5989776045DA},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.852973596937,-36.9094625698005,,,,,,,,"1",,,,SW_MHCR,,IE000000003000086450,TVES,VS14727,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,21.480000000000000,,,TAMAKI,,,,,1.060000000000000,,"1050",,,,,"20210420",20.420000000000002,,,,,,"150",,,,,CONC,SC,ENG60333431,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000086450",CIRC,INSR,,"036",65.129999999999995,"20220701",6800.869999999999891,"105",6866.000000000000000,6866.000000000000000,,MHCR1435686,,,,,{EFFE9919-7408-4E48-8A1A-675E86C5B98A},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.852888254187,-36.9094330760061,,,,,,,,"1",,,,SW_MHCR,,IE000000003000086449,TVES,VS14727,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,21.590000000000000,,,TAMAKI,,,,,1.220000000000000,,"1050",,,,,"20210420",20.370000000000001,,,,,,"150",,,,,CONC,SC,ENG60333431,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000086449",CIRC,INSR,,"036",65.129999999999995,"20220701",6800.869999999999891,"105",6866.000000000000000,6866.000000000000000,,MHCR1435685,,,,,{6E9EECEF-188E-4441-A538-E3D0B679692A},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.852859130882,-36.9093659310497,,,,,,,,"1",,,,SW_MHCR,,IE000000003000086448,TVES,VS14727,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,21.870000000000001,,,TAMAKI,,,,,1.170000000000000,,"1050",,,,,"20210420",20.699999999999999,,,,,,"150",,,,,CONC,SC,ENG60333431,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000086448",CIRC,INSR,,"036",65.129999999999995,"20220701",6800.869999999999891,"105",6866.000000000000000,6866.000000000000000,,MHCR1435684,,,,,{CE20216C-2293-42D7-ACDE-3B7B66259B0F},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.853193916804,-36.9092767041385,,,,,,,,"1",,,,SW_MHCR,,IE000000003000086447,TVES,VS14727,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,22.160000000000000,,,TAMAKI,,,,,0.990000000000000,,"1050",,,,,"20210420",21.170000000000002,,,,,,"150",,,,,CONC,SC,ENG60333431,ABPL,ABPL,ABPL,ABPL,,,,,,,,"3000086447",CIRC,INSR,,"036",49.850000000000001,"20220701",5205.149999999999636,"105",5255.000000000000000,5255.000000000000000,,MHCR1435683,,,,,{31D77699-A252-4925-8553-665A0B35A82C},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.854068462023,-36.9207442907018,,,,,,,,"1",,,,SW_MHCR,,IE000000003000084888,TVES,VS14154,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,9.770000000000000,,,TAMAKI,,,,,1.380000000000000,,"1050",,,,,"20200608",8.390000000000002,,,,,,"150",,,,,CONC,SC,ENG60302329,ABPL,ABPL,ABPL,ABPL,ABPL,,,,,,,"3000084888",CIRC,INSR,,"036",64.280000000000001,"20220701",6737.430000000000291,"107",6866.000000000000000,6866.000000000000000,,MHCR1362829,,,,,{39F00046-4450-48C2-8482-B0D0A2F5D0BA},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.854223486321,-36.9213745084069,,,,,,,,"1",,,,SW_MHCR,,IE000000003000084887,TVES,VS14154,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,10.340000000000000,,,TAMAKI,,,,,1.660000000000000,,"1050",,,,,"20200608",8.680000000000000,,,,,,"150",,,,,CONC,SC,ENG60302329,ABPL,ABPL,ABPL,ABPL,ABPL,,,,,,,"3000084887",CIRC,INSR,,"036",64.280000000000001,"20220701",6737.430000000000291,"107",6866.000000000000000,6866.000000000000000,,MHCR1362828,,,,,{B181B8E6-F833-49FA-8656-4D6AB34EBC5E},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.854221071692,-36.9214231273862,,,,,,,,"1",,,,SW_MHCR,,IE000000003000084886,TVES,VS14154,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,10.690000000000000,,,TAMAKI,,,,,1.970000000000000,,"1050",,,,,"20200608",8.720000000000002,,,,,,"150",,,,,CONC,SC,ENG60302329,ABPL,ABPL,ABPL,ABPL,ABPL,,,,,,,"3000084886",CIRC,INSR,,"036",64.280000000000001,"20220701",6737.430000000000291,"107",6866.000000000000000,6866.000000000000000,,MHCR1362827,,,,,{F8BB9D49-4A2E-412E-8EBB-C0923CC81B5B},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
174.855469909592,-36.9019512728195,,,,,,,CCTV,"1",,,,SW_MHCR,,IE000000003000083576,VALI,VD12527,STORMWATER,STORMWATER,STND,,,,,,,,,,,,,,,,,,,,,,,,,,TAMAKI,,,,,,,"1050",,,,,"19550101",,,P2000694276A,,,,"150",,,,,CONC,SC,,,,GISA,GISA,CCTV,,,,,,,"3000083576",CIRC,INSR,,"058",28.680000000000000,"20220701",3333.559999999999945,"183",5255.000000000000000,5255.000000000000000,,MHCR1299945,,,,,{0F567F04-143C-4755-BE66-738FA58CDE41},Stormwater Manhole And Chamber,Stormwater Manhole And Chamber_point,C:/Users/tomoa/OneDrive/Desktop/Compsci_Honours/Compsci 715/Data New/Sylvia Park/ESRI Sharp/ACDownloadJobID-34351|layername=Stormwater Manhole And Chamber_point
